,Syl_Per_Speaker,minF0,maxF0,meanF0,meanStd,meanZnorm,Total_Whispered
0,4.449733213268438,1.6422426151570697,6.30536981932626,0.1864163413283654,4.609855219031021,-0.18654398412474388,12
1,3.7262205868364835,3.979432277084205,6.293839216329005,0.24772739308037486,4.804718452693519,-0.15096619191628163,8
2,3.366412834078387,3.9793260038386156,6.288945370805254,0.24753407719341675,5.017004468713759,-0.289292092882114,0
3,2.982661863936955,3.9830065293423202,6.281453907504806,0.24135254025749628,5.119776997297681,-0.4069974564005564,0
4,3.803746115960377,3.978058913375682,5.735466260611131,0.14093704411882235,4.7389140095363445,-0.13724917082716442,2
5,4.252641756444225,3.9810371983023782,6.287604063364852,0.14005415933383852,4.754662469134604,-0.22680800195715517,6
6,3.3453607327133827,3.9758053346196007,6.276252879845877,0.2825290602543962,5.079049324917892,0.03435888136317319,3
7,3.8030289917124063,3.9801778692278167,6.188084009287034,0.14488359313458174,4.7622780289020765,0.18934689020294107,5
8,4.506202926692689,3.9787497919959036,6.245703923291404,0.10066380189759364,4.51316860042626,0.15367830476526814,1
9,3.156044380477858,3.986177722879496,6.288051063305018,0.16690685237282735,5.136865323717433,-0.302337373921825,0
10,2.948515814619595,3.9799344615042465,6.244384233310456,0.21399934753263417,5.098002983212958,-0.22973485770103994,3
11,3.3731886158676248,3.9785712102428867,6.281435753169319,0.19077099949525153,5.265106703771557,0.37059857377138133,0
12,4.406870374488402,3.977099802346497,5.940593430500801,0.16005169929214796,4.663479567845114,-0.32490999346586125,2
13,3.5378131526959287,3.978819731393444,5.971275463616464,0.2087889675870265,5.237178287862441,-0.047524303819252864,0
14,4.06549520675053,4.061554311305214,6.243244192408234,0.18693826712161576,5.2217568031610675,0.28736526471941154,1
15,3.767504803627961,3.980636440924694,6.215718992381413,0.25000463255524175,5.143528485773644,0.3197635178996794,0
16,2.638045837376998,3.980009592786218,5.757695168671144,0.17794620633861957,4.470564902989774,0.13629762950787186,3
17,3.8358710205976494,4.172886557551014,6.226425207573122,0.18180939149431316,5.334295808937375,0.01762279749819999,0
18,4.9232546474185215,3.9814598599643842,6.092226508165844,0.26162885612777703,4.983612229835542,0.19010672053733454,2
19,4.120047202931316,3.9788811027536335,6.269506452926749,0.30060006312698234,5.028704053092869,0.16935117413861228,2
20,4.235035356039211,3.9772737867718275,6.281720361527367,0.2786179169500536,5.208169159847335,-0.0812565635395119,0
21,5.185905324443255,4.007928378275911,6.077246136337837,0.11999696360851904,5.267163142601397,0.18068947310266995,0
22,3.96584151521039,3.978641875900563,6.298749965167026,0.3124446008884016,4.90261277986051,0.33140567293132617,4
23,3.7549132608914,3.9835207733364904,6.180172704453174,0.2073696944249596,5.160133804935304,0.7459864055913323,1
24,4.107459019594765,3.9798999591001953,6.276893564537576,0.28753900297572704,5.181038667011153,-0.275108086639649,0
25,4.290553092207139,3.9795724121182676,6.281994732683869,0.22292247028578724,4.87982831185733,0.15668649809714066,8
